"","Proj","Year","n","SM_CBar","SM_SE","LM_CBar","LM_SE","TM_CBar","TM_SE","TF_CBar","TF_SE"
"1","T04",1990,14,0.070721,0.0707212839249967,0.240718,0.129790215347691,0.31144,0.173206317931618,0.141442,0.141442567849993
"2","T04",1991,15,0.064724,0.0647245445458419,6.53312,5.71818688630117,6.597844,5.78276792433059,0.515346,0.385592790389032
"3","T04",1992,15,0.269387,0.183567607890572,3.13419,1.58993228367332,3.403578,1.67745815645776,5.495224,4.68453804197027
"4","T04",1993,16,0.42675,0.252463982579694,0.484579,0.175488959766704,0.911329,0.39118146364571,1.282519,0.835273345977232
"5","T04",1994,16,0.237733,0.182078966385467,0.421018,0.176294320668591,0.658752,0.269672138902038,0.584112,0.584112146766355
"6","T04",1995,16,0,0,0.182185,0.097969701949123,0.182185,0.097969701949123,0.058411,0.0584107224745594
"7","T04",1996,16,0.063775,0.0637754851020359,0.241071,0.185218452104535,0.304846,0.190586594491848,0.123299,0.0842863423100089
"8","T04",1997,16,0,0,0.058962,0.0589618520740317,0.058962,0.0589618520740317,0,0
"9","T04",1998,16,0,0,0,0,0,0,0,0
"10","T04",1999,16,0,0,0.131944,0.0902776965811601,0.131944,0.0902776965811601,0,0
"11","T04",2000,16,0,0,0.126932,0.0867229785005105,0.126932,0.0867229785005105,0,0
"12","T04",2001,16,0,0,0.25,0.25,0.25,0.25,0,0
"13","T04",2002,14,0,0,0,0,0,0,0,0
"14","T04",2003,16,0,0,0.125,0.0853910124076299,0.125,0.0853910124076299,0,0
"15","T04",2004,16,0,0,0.175233,0.175233594096566,0.175233,0.175233594096566,0,0
"16","T04",2005,15,0,0,0,0,0,0,0,0
"17","T04",2006,17,0,0,0,0,0,0,0,0
"18","T04",2007,16,0,0,0,0,0,0,0,0
"19","T04",2008,16,0,0,0,0,0,0,0,0
"20","T04",2009,15,0,0,0,0,0,0,0,0
"21","T04",2011,37,0,0,0,0,0,0,0,0
"22","T04",2012,37,0,0,0,0,0,0,0,0
"23","T04",2013,37,0,0,0,0,0,0,0,0
"24","T04",2017,38,0,0,0,0,0,0,0,0
"25","T04",2018,39,0,0,0,0,0,0,0,0
