"","Station","length","Sublegal","Legal","Tot_males","Juvenile_fems","Mature_fems","Tot_fems"
"1","101",0.499918,26.0042646994107,0,26.0042646994107,8.00131221520329,0,8.00131221520329
"2","102",0.500535,143.846084689382,1.99786228735253,145.843946976735,41.9551080344032,0,41.9551080344032
"3","103",0.49415,56.6629565921279,0,56.6629565921279,26.3078012749165,2.02367702114742,28.3314782960639
"4","104",0.491518,22.3796483546889,0,22.3796483546889,16.2761078943192,0,16.2761078943192
"5","105",0.499457,18.0195692522079,0,18.0195692522079,8.00869744542573,0,8.00869744542573
"6","106",0.502347,33.8411496435731,0,33.8411496435731,19.7074930277278,2.18972144752532,21.8972144752532
"7","107",0.495141,153.491631676634,0,153.491631676634,4.03925346517457,86.8439495012532,90.8832029664277
"8","108",0.503088,1.98772381770187,0,1.98772381770187,7.95089527080749,0,7.95089527080749
"9","109",0.504752,5.94351285383713,0,5.94351285383713,0,0,0
"10","110",0.475481,0,0,0,0,0,0
"11","111",0.498225,2.00712529479653,0,2.00712529479653,4.01425058959306,0,4.01425058959306
"12","112",0.502621,0,0,0,0,0,0
"13","113",0.495968,38.3089231563327,0,38.3089231563327,34.2764049293503,0,34.2764049293503
"14","114",0.49539,0,0,0,4.0372231978845,0,4.0372231978845
"15","116",0.502896,415.657024514015,61.5788174891031,477.235849957049,45.7351022875505,180.951926442048,226.687028729598
"16","117",0.503525,15.8879896728067,0,15.8879896728067,5.95799612730252,3.97199741820168,9.9299935455042
"17","118",0.502175,310.292015731568,36.2007348036043,346.492756509185,134.096679444417,381.659779957186,515.756459401603
"18","119",0.498301,44.150021773988,0,44.150021773988,10.0340958577245,0,10.0340958577245
"19","120",0.500615,51.9361185741538,0,51.9361185741538,29.9631453312426,0,29.9631453312426
"20","121",0.500686,0,0,0,0,11.9835585576589,11.9835585576589
"21","122",0.503205,35.7707097504993,0,35.7707097504993,23.8471398336662,0,23.8471398336662
"22","123",0.500447,13.9874951793097,0,13.9874951793097,15.9857087763539,0,15.9857087763539
"23","124",0.474422,710.12420798361,120.360036001703,830.484252416625,128.091087681431,1370.57465505394,1498.6657448432
"24","125",0.501577,210.432182895149,18.8446719048122,229.276860781096,15.9496946630328,0,15.9496946630328
"25","126",0.498172,20950.5953706752,0,20950.5953766972,4534.57841869876,0,4534.57841869876
"26","127",0.499368,275.16261554605,149.373992726807,424.536614280451,30.0379679915413,54.0683423847744,84.1063103763157
"27","128",0.495755,696.136609817349,249.895194198747,946.031810067473,16.2176881725852,389.224516142046,405.442204314631
"28","129",0.513532,54.5243529127688,7.78919327325269,62.3135461860215,11.683789909879,38.9459663662634,50.6297562761425
"29","130",0.498258,113.158947774045,29.3375058704527,142.496457658482,6.14554708604779,439.406753127898,445.55230422793
"30","131",0.500024,53.99740812441,9.99952002303889,63.9969281474489,9.99952002303889,91.9955842119578,101.995104234997
"31","132",0.445116,26.959264551263,8.98642151708768,35.9456860683507,0,31.4524753098069,31.4524753098069
"32","133",0.500867,1.99653800310262,0,1.99653800310262,1.99653800310262,0,1.99653800310262
"33","134",0.496965,0,0,0,0,0,0
"34","135",0.503257,1.98705631516303,1.98705631516303,3.97411263032606,1.98705631516303,1.98705631516303,3.97411263032606
"35","136",0.49794,54.2234004096879,6.0248222677431,60.248222677431,54.2234004096879,110.455074908624,164.678475318311
"36","137",0.501311,11.9686182828623,1.99476971381039,13.9633879966727,19.9476971381039,9.97384856905195,29.9215457071558
"37","138",0.50106,1.99576896978406,0,1.99576896978406,3.99153793956812,0,3.99153793956812
"38","140",0.499197,0,0,0,2.00321716676983,0,2.00321716676983
"39","141",0.500091,5.99890819870784,0,5.99890819870784,0,0,0
