"","Proj","Year","n","SM_CBar","SM_SE","LM_CBar","LM_SE","TM_CBar","TM_SE","TF_CBar","TF_SE"
"1","T04",1990,14,21.929495,9.65761685702756,0.352262,0.221070609276119,22.281757,9.81896574055973,40.247634,19.9287593460162
"2","T04",1991,15,11.999205,4.40198704374892,2.82812,1.25469736058807,14.827325,5.59157844143017,23.629886,10.1487555953099
"3","T04",1992,15,9.619151,3.89142751870484,4.348657,1.80357666873355,13.967808,5.61015005146921,35.131956,14.0486324625092
"4","T04",1993,16,4.213031,2.22149936698168,4.851154,2.02980222250839,9.064186,4.14715543324578,26.686366,21.8748560080975
"5","T04",1994,16,0.727444,0.349062852506536,1.51468,0.801924404167874,2.242124,1.10538485944941,6.047816,3.91961964832048
"6","T04",1995,16,9.061121,5.870001277683,0.536542,0.258306745943655,9.597663,5.91300271118659,6.050366,2.14399565647881
"7","T04",1996,16,7.512893,3.93503934224297,3.4761,1.51218085475911,10.988993,5.38687669248146,22.876668,10.0576312693397
"8","T04",1997,16,1.543234,0.823026313370356,0.553501,0.327243219945043,2.096735,0.924975168585622,5.302728,2.78966836066583
"9","T04",1998,16,0.32381,0.154394583778059,0.186905,0.100468278575877,0.510716,0.2058500667962,0.761249,0.376441562529963
"10","T04",1999,16,0.376447,0.219471097185939,0.621312,0.502674907370559,0.997759,0.682439237221894,1.481689,0.742987550366761
"11","T04",2000,16,0.313195,0.150201739337466,0.123774,0.0845587813299127,0.436969,0.181315505404254,1.1215,0.566706162839262
"12","T04",2001,16,33.172079,21.1371543540634,0.310024,0.149219217931203,33.482104,21.2375735048757,41.33849,33.7080292335891
"13","T04",2002,14,5.428944,3.56185469343471,0.912457,0.567642367290231,6.341402,3.87369139194128,24.697406,17.7523895333236
"14","T04",2003,16,11.543242,5.07177190437425,0.559783,0.271006111554703,12.103026,5.28738200222946,17.277045,9.62950221000546
"15","T04",2004,16,3.44657,1.63106581335641,0.875,0.569173358916244,4.32157,2.1715357324944,5.375656,3.33395320902978
"16","T04",2005,15,2.454939,0.903842611667909,0.856247,0.382984594990451,3.311186,1.12851140889226,2.69281,2.01295182919678
"17","T04",2006,17,53.047116,41.1142803357837,3.075576,1.62315790613091,56.122693,42.6335464752678,25.930966,11.2389404775906
"18","T04",2007,16,7.971044,2.95531549711702,1.072506,0.464487284540707,9.04355,3.18729016956411,27.223674,14.4309496547351
"19","T04",2008,16,8.189376,2.41387295129632,0.890601,0.523014519396928,9.079978,2.85217892583898,15.531339,4.7043524195685
"20","T04",2009,15,0.734006,0.462595215424169,0,0,0.734006,0.462595215424169,0.2,0.144749208403132
"21","T04",2011,37,0.050994,0.0509941703080402,0.05005,0.0500499750249688,0.101044,0.0704529745406226,0.100134,0.0698279739498859
"22","T04",2012,37,0.254208,0.147506115310702,0,0,0.254208,0.147506115310702,0.05726,0.0572604292400673
"23","T04",2013,37,0.334807,0.205615292837495,0,0,0.334807,0.205615292837495,0.168002,0.125286698243496
"24","T04",2017,38,10.577081,4.3206854262526,0.211262,0.165458851618604,10.788344,4.36709135406358,18.644727,7.97058846305393
"25","T04",2018,39,23.98335,9.78616489403961,2.453717,1.58212298137823,26.437068,11.3177197248046,78.545813,54.1103331854083
