"YEAR","PROJECT_CODE","n","A","bigN","LM_CBar","LM_varC","LM_varCBar","LM_P","LM_VarP","LM_P_CI","TM_CBar","TM_varC","TM_varCBar","TM_P","TM_VarP","TM_P_CI","SM_CBar","SM_varC","SM_varCBar","SM_P","SM_VarP","SM_P_CI","TF_CBar","TF_varC","TF_varCBar","TF_P","TF_VarP","TF_P_CI"
"1990","T04",14,81.231001,12339.229851,0.240718,0.235837,0.016826,2970.226491,2561833.658393,3457.827552,0.311440,0.420006,0.029966,3842.856551,4562406.956595,4614.502411,0.070721,0.070021,0.004995,872.630060,760619.248749,1884.132855,0.141442,0.280084,0.019983,1745.260120,3042476.994998,3768.265710
"1990","T05",24,771.862373,117248.182588,0.165453,0.403721,0.016818,19398.693708,231194447.105994,31454.103551,0.249636,0.456008,0.018996,29268.883805,261136528.516525,33428.926163,0.084183,0.081354,0.003389,9870.190097,46588133.760609,14119.726017,0.166715,0.411229,0.017131,19546.731453,235493631.196547,31745.209386
"1990","T06",11,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1991","T04",15,81.231001,12339.229851,6.533120,490.464919,32.657912,80612.096479,4972188490.43319,151236.945024,6.597844,501.606073,33.399753,81410.736547,5085134220.52034,152945.010746,0.064724,0.062839,0.004184,798.640068,637050.594774,1711.871126,0.515346,2.230227,0.148501,6358.859810,22609383.438416,10198.315977
"1991","T05",17,771.862373,117248.182588,0.465783,0.623560,0.036674,54611.168370,504152427.232344,47598.951778,0.465783,0.623560,0.036674,54611.168370,504152427.232344,47598.951778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1991","T06",29,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034482,0.034482,0.001188,1307.387586,1707954.938495,2677.037653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034482,0.034482,0.001188,1307.387586,1707954.938495,2677.037653
"1992","T04",15,81.231001,12339.229851,3.134190,37.918270,2.524811,38672.743030,384404227.246074,42051.179466,3.403578,42.207988,2.810445,41996.715590,427892116.940981,44366.099296,0.269387,0.505456,0.033656,3323.972560,5124164.244493,4855.071442,5.495224,329.173450,21.918219,67805.513121,3337063218.90651,123898.577786
"1992","T05",25,771.862373,117248.182588,0.554952,2.203336,0.088114,65065.954328,1211277331.27643,71830.706855,0.674160,3.482773,0.139281,79042.593631,1914643272.05782,90309.259315,0.119207,0.190246,0.007608,13976.639303,104587508.835370,21107.084787,0.118811,0.352906,0.014113,13930.205285,194009243.269118,28747.465154
"1992","T06",37,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050994,0.096215,0.002597,1933.413564,3734440.132491,3919.230698
"1993","T04",16,81.231001,12339.229851,0.484579,0.492742,0.030756,5979.216211,4682692.488178,4612.356568,0.911329,2.448367,0.152824,11244.888743,23267639.581916,10281.375447,0.426750,1.019809,0.063655,5265.672532,9691583.683031,6635.481302,1.282519,11.162905,0.696776,15824.999701,106084738.341387,21953.385795
"1993","T05",15,771.862373,117248.182588,0.066666,0.066666,0.004443,7816.392966,61088182.758689,16763.423122,0.133333,0.123809,0.008252,15632.785932,113449482.266138,22844.694952,0.066666,0.066666,0.004443,7816.392966,61088182.758689,16763.423122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1993","T06",38,249.600000,37914.979910,0.024826,0.023420,0.000615,941.267130,885095.839657,1906.232377,0.024826,0.023420,0.000615,941.267130,885095.839657,1906.232377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025799,0.025293,0.000664,978.179566,955876.283582,1980.986588
"1994","T04",16,81.231001,12339.229851,0.421018,0.497275,0.031039,5194.946706,4725770.171393,4633.523319,0.658752,1.163569,0.072628,8128.339548,11057782.072058,7087.761054,0.237733,0.530444,0.033109,2933.392841,5040990.339133,4785.562442,0.584112,5.458992,0.340744,7207.353418,51878586.165687,15352.147015
"1994","T05",17,771.862373,117248.182588,0.168686,0.258999,0.015233,19777.820262,209402323.430797,30676.598739,0.168686,0.258999,0.015233,19777.820262,209402323.430797,30676.598739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1994","T06",38,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026055,0.025797,0.000678,987.864512,974898.230995,2000.600317,0.026055,0.025797,0.000678,987.864512,974898.230995,2000.600317,0.026055,0.025797,0.000678,987.864512,974898.230995,2000.600317
"1995","T04",16,81.231001,12339.229851,0.182185,0.153569,0.009585,2247.987663,1459420.402292,2574.929017,0.182185,0.153569,0.009585,2247.987663,1459420.402292,2574.929017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058411,0.054589,0.003407,720.735341,518785.861656,1535.214701
"1995","T05",24,771.862373,117248.182588,0.121913,0.195679,0.008151,14293.866766,112057386.962566,21898.222204,0.245279,0.532961,0.022202,28758.025318,305204769.652673,36139.677353,0.123366,0.194757,0.008113,14464.158552,111529203.645380,21846.552530,0.179080,0.173985,0.007247,20996.462056,99634281.455243,20648.714015
"1995","T06",32,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1996","T04",16,81.231001,12339.229851,0.241071,0.548894,0.034261,2974.577717,5216324.432089,4868.076025,0.304846,0.581172,0.036276,3761.503040,5523074.884789,5009.167112,0.063775,0.065077,0.004062,786.925322,618448.493347,1676.203806,0.123299,0.113667,0.007095,1521.388956,1080223.368380,2215.296384
