"YEAR","PROJECT_CODE","n","A","bigN","LM_CBar","LM_varC","LM_varCBar","LM_P","LM_VarP","LM_P_CI","TM_CBar","TM_varC","TM_varCBar","TM_P","TM_VarP","TM_P_CI","SM_CBar","SM_varC","SM_varCBar","SM_P","SM_VarP","SM_P_CI","TF_CBar","TF_varC","TF_varCBar","TF_P","TF_VarP","TF_P_CI"
"1995","T06",32,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090144,0.260031,0.008119,3417.750000,11671156.360665,6967.604884,0.090144,0.260031,0.008119,3417.750000,11671156.360665,6967.604884,1.292067,53.422013,1.668028,48987.750000,2397774234.54118,99869.003348
"1996","T04",16,81.231001,12339.229851,3.476100,36.587055,2.283725,42891.562678,347698747.333258,39744.461560,10.988993,464.295048,28.980812,135593.072772,4412347638.32659,141582.610567,7.512893,247.752554,15.464456,92701.510094,2354473523.61544,103424.149994,22.876668,1618.495148,101.024780,282274.962902,15381088524.3645,264343.472406
"1996","T05",18,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1997","T04",16,81.231001,12339.229851,0.553501,1.713410,0.106949,6829.644002,16283102.055966,8600.894630,2.096735,13.689265,0.854469,25871.601119,130093567.724933,24311.008029,1.543234,10.837957,0.676493,19041.957117,102996651.555991,21631.498594,5.302728,124.515993,7.772158,65430.314252,1183316196.34445,73320.506961
"1997","T05",18,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1997","T06",39,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1998","T04",16,81.231001,12339.229851,0.186905,0.161502,0.010080,2306.228902,1534807.728196,2640.596500,0.510716,0.677988,0.042319,6301.724164,6443144.722267,5410.333020,0.323810,0.381403,0.023806,3995.495261,3624602.896011,4057.936729,0.761249,2.267332,0.141524,9393.045909,21547206.205496,9893.968848
"1998","T05",22,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1999","T04",16,81.231001,12339.229851,0.621312,4.042913,0.252354,7666.363584,38421129.134627,13211.742989,0.997759,7.451573,0.465119,12311.341860,70814743.702676,17936.466823,0.376447,0.770681,0.048105,4644.978275,7324033.934646,5768.331736,1.481689,8.832488,0.551314,18282.549668,83938027.601747,19527.850187
"1999","T05",19,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1999","T06",40,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2000","T04",16,81.231001,12339.229851,0.123774,0.114403,0.007140,1527.252321,1087210.195719,2222.449047,0.436969,0.526005,0.032832,5391.766512,4998802.183855,4765.495131,0.313195,0.360969,0.022531,3864.514191,3430406.419766,3947.733644,1.121500,5.138494,0.320739,13838.187384,48832797.312831,14894.668990
"2000","T05",24,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2001","T04",16,81.231001,12339.229851,0.310024,0.356262,0.022237,3825.392026,3385674.728236,3921.910427,33.482104,7216.552454,450.449682,413135.315835,68581257273.9347,558184.504439,33.172079,7148.468707,446.199965,409309.923808,67934235160.4382,555545.200352,41.338490,18179.699757,1134.757909,510075.176753,172767630254.301,885943.942146
"2001","T05",24,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041254,0.040845,0.001701,4836.876835,23390588.627352,10004.817898,0.041254,0.040845,0.001701,4836.876835,23390588.627352,10004.817898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
